ID,Name,Year,Season,English,Japanese,Episodes,Broadcast,Source,Duration,Rating,Score,Members,Favorites,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
37522,Pet,2020,winter,Pet,ペット,13,Mondays at 22:00 (JST),Manga,23,R - 17+ (violence & profanity),6.28,53249,86,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,1,,,,
38476,Heya Camp△,2020,winter,Room Camp,へやキャン△,12,Mondays at 20:55 (JST),Manga,3,PG-13 - Teens 13 or older,7.11,41088,50,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
39388,Koisuru Asteroid,2020,winter,Asteroid in Love,恋する小惑星〈アストロイド〉,12,Fridays at 20:30 (JST),4-koma manga,23,None,6.79,36298,95,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
40392,Runway de Waratte,2020,winter,Smile Down the Runway,ランウェイで笑って,12,Saturdays at 02:25 (JST),Manga,24,PG-13 - Teens 13 or older,7.58,35298,77,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,
37576,Majutsushi Orphen Hagure Tabi,2020,winter,Sorcerous Stabber Orphen,魔術士オーフェンはぐれ旅,13,Tuesdays at 23:00 (JST),Light novel,23,PG-13 - Teens 13 or older,5.83,30999,39,1,1,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
40746,Overflow,2020,winter,,おーばーふろぉ,8,Mondays at 01:00 (JST),Manga,7,R+ - Mild Nudity,6.25,22583,112,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40230,Housekishou Richard-shi no Nazo Kantei,2020,winter,The Case Files of Jeweler Richard,宝石商リチャード氏の謎鑑定,12,Thursdays at 23:30 (JST),Novel,23,None,6.69,19510,39,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
38302,Boku no Tonari ni Ankoku Hakaishin ga Imasu,2020,winter,,ぼくのとなりに暗黒破壊神がいます。,12,Saturdays at 21:00 (JST),Manga,23,None,6.16,19296,32,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
35252,Hatena☆Illusion,2020,winter,,はてな☆イリュージョン,,Thursdays at 23:30 (JST),Light novel,24,None,5.69,17950,20,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
40738,Natsunagu,2020,winter,,なつなぐ!,12,Tuesdays at 01:35 (JST),Original,4,None,5.75,15050,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
